AT HOME,$25,hr,,,,,,,,,
ON SITE,$35,hr,,,,,,,,,
Date,Location,Time Start,Time End,Time Spent (hr),Square Footage,Time Cost + Parking,Running Total,Parking,,,
8/14/2020,1237 De Haro St,,,1,,$25.00,"$2,546.08",,,,
8/17/2020,5125 Big Ranch Rd,,,0.5,,$12.50,"$2,558.58",,,,
,130 Retiro Wy,,,1,,$25.00,"$2,583.58",,,,
,1100 Page St,,,1,,$25.00,"$2,608.58",,,,
8/19/2020,166 Palm Ave #3,10:00 AM,11:00 AM,1.00,"1,120",$140.00,"$2,748.58",,,,
,701 Minna St #22,11:00 AM,12:30 PM,1.50,"1,750",$140.00,"$2,888.58",,,,
8/20/2020,301 Nevada St,10:00 AM,12:30 PM,2.50,"1,970",$157.50,"$3,046.08",,,,
,136 Santa Marina St,1:00 PM,2:00 PM,1.00,"1,310",$140.00,"$3,186.08",,,,
8/24/2020,845 Montgomery St Ph4,10:00 AM,11:45 AM,1.75,"1,620",$143.58,"$3,333.24",3.58,,,
,72-74 Toledo Wy,11:45 AM,2:45 PM,3.00,"2,880",$175.00,"$3,504.66",,,,
8/25/2020,1177 California Street #625,10:00 AM,11:00 AM,1.00,635,$70.00,"$3,574.66",,,,
,"218 Linda Ave, Piedmont",12:00 PM,2:30 PM,2.50,"2,070",$157.50,"$3,732.16",,,,
8/27/2020,643 Natoma St,10:15 AM,12:30 PM,2.50,"1,905",$157.50,"$3,889.66",,,,
,3254 Clay St,12:30 PM,2:45 PM,2.50,"2,365",$157.50,"$4,047.16",,,,
,1563 Innes St,2:45 PM,5:00 PM,2.50,"1,150",$157.50,"$4,204.66",,,,
8/28/2020,4201 22nd St,,,1.75,,$43.75,"$4,248.41",,,,
,1812 Lyon St,,,4,,$61.25,"$4,309.66",,,,
8/29/2020,29 San Leandro Wy,9:00 AM,12:30 PM,3.50,"3,945",$192.50,"$4,502.16",,,,
8/31/2020,1143 Leavenworth St,10:15 AM,11:30 AM,1.25,835,$78.75,"$4,580.91",,,,
,12 Ord Ct ,11:30 AM,1:00 PM,1.50,"1,260",$140.00,"$4,720.91",,,,
9/1/2020,115 Palm Ave,,,1,,$25.00,$25.00,,,,
,21 San Pablo Ave,9:30 AM,12:45 PM,3.25,"2,750",$175.00,$200.00,,,,
,316 Warren Drive,12:45 PM,4:30 PM,3.75,"2,940",$192.50,$392.50,,,,
9/3/2020,1226 Alameda de las Pulgas,,,3.5,,$87.50,$480.00,,,,
9/4/2020,205 Beacon St,9:30 AM,12:30 PM,3.00,"2,175",$175.00,$655.00,,,,
,"1126 Miller Ave, Berkeley",12:30 PM,3:15 PM,2.75,"1,200",$192.50,$847.50,,,,
9/5/2020,200 Brannan St #317,11:00 AM,12:15 PM,1.25,840,$90.00,$937.50,,,,
9/8/2020,588 Page St,9:30 AM,10:45 AM,1.25,"1,200",$140.00,"$1,077.50",,,,
,2719 Franklin St,11:00 AM,1:00 PM,2.00,"2,315",$140.00,"$1,217.50",,,,
9/9/2020,374 11th Ave,,,1,,$25.00,"$1,242.50",,,,
,1063 Powhattan Ave,,,1,,$25.00,"$1,267.50",,,,
9/10/2020,84 Elgin Pk,10:00 AM,12:15 PM,2.25,"1,280",$140.00,"$1,407.50",,,,
,2 Fallon Pl,12:15 PM,1:45 PM,1.50,"1,115",$140.00,"$1,547.50",,,,
9/11/2020,3001 Castro St,9:30,12:00 PM,2.50,"2,675",$157.50,"$1,705.00",,,,
9/13/2020,1013 Rhode Island St,11:30,2:00 PM,2.50,"1,760",$157.50,"$1,862.50",,,,
9/14/2020,3569 Washington St,,,5.5,,$137.50,"$2,000.00",,,,
9/15/2020,27 Parker Ave,10:00 AM,11:00 AM,1.00,"1,040",$140.00,"$2,140.00",,,,
,212 Day St,11:00 AM,1:30 PM,2.50,"1,940",$157.50,"$2,297.50",,,,
9/17/2020,2 Pearl St #4,9:30 AM,10:30 AM,1.00,800,$90.00,"$2,387.50",,,,
,423 Vermont St,10:30 AM,1:00 PM,2.50,"1,485",$157.50,"$2,545.00",,,,
9/18/2020,1998 Broadway St #1002,9:45 AM,10:45 AM,1.00,725,$90.00,"$2,635.00",,,,
 ,230 Whitney St,10:45 AM,1:30 PM,2.75,"2,125",$157.50,"$2,792.50",,,,
9/21/2020,131 Bonita Ave Piedmont,1:00 PM,4:00 PM,3.00,2800+,$192.50,"$2,985.00",,,,
9/22/2020,309 63rd St Oakland,10:00 AM,12:45 PM,2.75,"2,765",$157.50,"$3,142.50",,,,
,4704 Shattuck Ave Oakland,12:45 PM,2:00 PM,1.25,"1,000",$140.00,"$3,282.50",,,,
9/24/2020,2126-2130B Sutter St,9:30 AM,12:00 PM,2.50,"2,110",$192.50,"$3,475.00",,,,
,1260 Noe St,12:00 PM,1:45 PM,1.75,"1,450",$140.00,"$3,615.00",,,,
9/25/2020,55 Page St #329,9:30 AM,11:00 AM,1.50,"1,155",$140.00,"$3,755.00",,,,
,4339 California St #1,11:00 AM,1:00 PM,2.00,"1,590",$140.00,"$3,895.00",,,,
9/28/2020,1429 Dolores St,9:30 AM,11:00 AM,1.50,"1,270",$140.00,"$4,035.00",,,,
9/29/2020,388 Fulton St #202,10:00 AM,11:00 AM,1.00,775,$78.75,"$4,113.75",,,,
,3669 17th St ,11:00 AM,12:30 PM,1.50,"1,250",$140.00,"$4,253.75",,,,
10/1/2020,38 Edna St,9:30 AM,11:00 AM,1.50,"1,075",$141.25,"$4,396.25",1.25,,,
,2135 California St #A,11:00 AM,1:00 PM,2.00,"2,070",$140.00,"$4,535.00",,,,
10/2/2020,3917 18th St,9:30 AM,11:00 AM,1.50,"1,110",$140.00,"$4,675.00",,,,
,686 S Van Ness Ave,11:00 AM,1:15 PM,2.25,"1,260",$140.00,"$4,815.00",,,,
10/7/2020,3038 Gough St,,,1,,$25.00,"$4,840.00",,,,
,3750 21st St,,,1.5,,$37.50,"$4,877.50",,,,
10/8/2020,960-964 Filbert St,,,2.15,,$53.75,"$4,931.25",,,,
10/11/2020,1080 Chestnut St #3C,9:45 AM,11:00 AM,1.25,"1,440",$140.00,"$5,071.25",,,,
10/14/2020,1083 Pacheco St,,,1.25,,$31.25,"$5,102.50",,,,
10/15/2020,3421 Jackson St,,,3,,$43.75,"$5,146.25",,,,
10/16/2020,338 Potrero Ave #502,10:00 AM,11:45 AM,3,670,$105.00,"$5,251.25",,,,
,4232 Suter St Oakland,11:45 AM,1:30 PM,1.75,"1,045",$140.00,"$5,391.25",,,,
10/20/2020,68 Nevada St,10:00 AM,11:30 AM,1.50,"1,525",$140.00,$140.00,,,,
,430 Hickory St,11:30 AM,1:00 PM,1.50,"1,560",$210.00,$420.00,70,,,
10/22/2020,399 Roosevelt Wy,10:00 AM,2:00 PM,4.00,"2,460",$210.00,$560.00,,,,
10/23/2020,1125 Hayes St,10:00 AM,2:00 PM,4.00,"4,145",$227.50,$787.50,,,,
10/27/2020,1060 Church St,10:00 AM,12:00 PM,2.00,"3,605",$175.00,$962.50,,,,
,2500 Green St,12:00 PM,3:30 PM,3.50,"5,465",$227.50,"$1,190.00",,,,
10/29/2020,389 27th St,,,3,,$75.00,"$1,265.00",,,,
,2265 Broadway #9,,,2,,$50.00,"$1,315.00",,,,
11/5/2020,"8 Colonial Way, #1",,,1,,$25.00,"$1,340.00",,,,
11/5/2020,410 Elder Ave,,,1.75,,$43.75,"$1,383.75",,,,
11/6/2020,St Regis #36E,,,4,,$100.00,"$1,483.75",,,,
11/9/2020,1478 Masonic Ave,,,2,,$50.00,"$1,533.75",,,,
11/11/2020,430 Pratt Ave,,,2,,$50.00,"$1,583.75",,,,
,2171 39th Ave,,,2,,$50.00,"$1,633.75",,,,
11/15/2020,1628 Oak View Ave,1:00 PM,3:00 PM,2.00,,$157.50,"$1,791.25",,,,
,2484 Rawson St,3:00 PM,5:45 PM,2.75,,$175.00,"$1,966.25",,,,
11/17/2020,788 Tamarack Dr,,,1.75,,$43.75,"$2,010.00",,,,
,799 Athens St,,,1.25,,$31.25,"$2,041.25",,,,
11/18/2020,85 Uranus Ter,,,1.5,,$37.50,"$2,078.75",,,,
11/30/2020,85-87 Central Ave,,,2,,$50.00,$50.00,,,,
,1155 Leavenworth St,,,1,,$25.00,$75.00,,,,
12/2/2020,2250 Vallejo St,,,1,,$25.00,$100.00,,,,
12/9/2020,181 O'Farrel St,,,1.25,,$31.25,$131.25,,,,
12/11/2020,1144 Keith Ave,10:00 AM,12:30 PM,2.50,,$175.00,$306.25,,,,
12/17/2020,225 Arkansas St,,,1.5,,$37.50,$343.75,,,,
12/18/2020,578 Alverado St,,,1.5,,$37.50,$381.25,,,,
12/23/2020,575 Fairmont Ave,,,1,,$25.00,$406.25,,,,
12/28/2020,1200 California St #14C,,,2.5,,$175.00,$581.25,,,,
